Ville;Etat;Climat;lat;lng
Adelaide;Nouvelle-Galles du Sud;Tempéré;-34.9289;138.6011
Albany;Australie Occidentale;Tempéré;-35.0228;117.8814
Albury;Nouvelle-Galles du Sud;Tempéré;-36.0806;146.9158
AliceSprings;Australie Occidentale;Aride;-23.7;133.8667
BadgerysCreek;Nouvelle-Galles du Sud;Tempéré;-37.7;145.5167
Ballarat;Victoria;Tempéré;-37.55;143.85
Bendigo;Victoria;Tempéré;-36.75;144.2667
Brisbane;Queensland;Subtropical;-27.4678;153.0281
Cairns;Queensland;Tropical;-16.9303;145.7703
Canberra;Nouvelle-Galles du Sud;Tempéré;-35.2931;149.1269
Cobar;Nouvelle-Galles du Sud;Tempéré;-31.4997;145.8319
CoffsHarbour;Nouvelle-Galles du Sud;Tempéré;-30.3022;153.1189
Dartmoor;Victoria;Tempéré;-37.92728113890242;141.27476697463663
Darwin;Territoire du nord;Tropical;-12.4381;130.8411
GoldCoast;Queensland;Subtropical;-28.0167;153.4
Hobart;Tasmanie;Tempéré;-42.8806;147.325
Katherine;Territoire du nord;Tropical;-14.4667;132.2667
Launceston;Tasmanie;Tempéré;-41.4419;147.145
Melbourne;Victoria;Tempéré;-37.8136;144.9631
MelbourneAirport;Victoria;Tempéré;-37.6695;144.8404
Mildura;Victoria;Tropical;-34.1889;142.1583
Moree;Nouvelle-Galles du Sud;Subtropical;-30.9789;150.8692
MountGambier;Australie-Meridionale;Tempéré;-37.8294;140.7828
MountGinini;Queensland;Subtropical;-35.529591;148.77176
Newcastle;Nouvelle-Galles du Sud;Tempéré;-32.9167;151.75
Nhil;Victoria;Tempéré;-36.3333;141.65
NorahHead;Nouvelle-Galles du Sud;Tempéré;-33.282277909870245;151.56703157251098
NorfolkIsland;ile;Subtropical;-29.03138;167.94748
Nuriootpa;Australie-Meridionale;Tempéré;-34.4667;138.9833
PearceRAAF;Australie Occidentale;Tempéré;-31.66042720401014;116.0320492459802
Penrith;Nouvelle-Galles du Sud;Tempéré;-33.7511;150.6942
Perth;Australie Occidentale;Tempéré;-31.9522;115.8589
PerthAirport;Australie Occidentale;Tempéré;-31.936247175927768;115.96825161420085
Portland;Victoria;Tempéré;-38.3333;141.6
Richmond;Nouvelle-Galles du Sud;Tempéré;-33.5983;150.7511
Sale;Victoria;Tempéré;-38.1;147.0667
SalmonGums;Australie Occidentale;Tempéré;-32.987681733058274;121.64755202767874
Sydney;Nouvelle-Galles du Sud;Tempéré;-33.865;151.2094
SydneyAirport;Nouvelle-Galles du Sud;Tempéré;-33.946907454464906; 151.1829174749895
Townsville;Queensland;Subtropical;-19.2564;146.8183
Tuggeranong;Nouvelle-Galles du Sud;Tempéré;-35.41798;149.06878
Uluru;Territoire du nord;Désert;-25.344735766177426;131.03688184033132
WaggaWagga;Nouvelle-Galles du Sud;Tropical;-35.103888010794236;147.36505859728993
Walpole;Australie Occidentale;Tempéré;-37.71431033803304;145.0850994599172
Watsonia;Victoria;Tempéré;-37.71060553994401;145.08352330078725
Williamtown;Nouvelle-Galles du Sud;Tempéré;-34.6721;138.8884
Witchcliffe;Australie Occidentale;Tempéré;-34.02635633898495;115.09989361629214
Wollongong;Nouvelle-Galles du Sud;Tempéré;-34.4331;150.8831
Woomera;Australie-Meridionale;Tempéré;-31.1988592838477;136.82530572509316
